TS,label,value,,class,,,,,,,,
2015-02-27 05:52:53,N,56,,0,,,,,,,,
2015-02-27 05:57:53,N,44,,0,,,,,,,,
2015-02-27 06:02:53,N,38,,0,,,,,,,,
2015-02-27 06:07:53,N,37,,0,,,,,,,,
2015-02-27 06:12:53,N,28,,0,,,,,,,,
2015-02-27 06:17:53,N,30,,0,,,,,,,,
2015-02-27 06:22:53,N,32,,0,,,,,,,,
2015-02-27 06:27:53,N,38,,0,,,,,,,,
2015-02-27 06:32:53,N,47,,0,,,,,,,,
2015-02-27 06:37:53,N,31,,0,,,,,,,,
2015-02-27 06:42:53,N,30,,0,,,,,,,,
2015-02-27 06:47:53,N,26,,0,,,,,,,,
2015-02-27 06:52:53,N,20,,0,,,,,,,,
2015-02-27 06:57:53,N,36,,0,,,,,,,,
2015-02-27 07:02:53,N,28,,0,,,,,,,,
2015-02-27 07:07:53,N,23,,0,,,,,,,,
2015-02-27 07:12:53,N,15,,0,,,,,,,,
2015-02-27 07:17:53,N,25,,0,,,,,,,,
2015-02-27 07:22:53,N,20,,0,,,,,,,,
2015-02-27 07:27:53,N,19,,0,,,,,,,,
2015-02-27 07:32:53,N,19,,0,,,,,,,,
2015-02-27 07:37:53,N,18,,0,,,,,,,,
2015-02-27 07:42:53,N,21,,0,,,,,,,,
2015-02-27 07:47:53,N,17,,0,,,,,,,,
2015-02-27 07:52:53,N,11,,0,,,,,,,,
2015-02-27 07:57:53,N,32,,0,,,,,,,,
2015-02-27 08:02:53,N,13,,0,,,,,,,,
2015-02-27 08:07:53,N,13,,0,,,,,,,,
2015-02-27 08:12:53,N,31,,0,,,,,,,,
2015-02-27 08:17:53,N,23,,0,,,,,,,,
2015-02-27 08:22:53,N,19,,0,,,,,,,,
2015-02-27 08:27:53,N,22,,0,,,,,,,,
2015-02-27 08:32:53,N,18,,0,,,,,,,,
2015-02-27 08:37:53,N,23,,0,,,,,,,,
2015-02-27 08:42:53,N,42,,0,,,,,,,,
2015-02-27 08:47:53,N,14,,0,,,,,,,,
2015-02-27 08:52:53,N,14,,0,,,,,,,,
2015-02-27 08:57:53,N,23,,0,,,,,,,,
2015-02-27 09:02:53,N,15,,0,,,,,,,,
2015-02-27 09:07:53,N,15,,0,,,,,,,,
2015-02-27 09:12:53,N,11,,0,,,,,,,,
2015-02-27 09:17:53,N,18,,0,,,,,,,,
2015-02-27 09:22:53,N,11,,0,,,,,,,,
2015-02-27 09:27:53,N,20,,0,,,,,,,,
2015-02-27 09:32:53,N,26,,0,,,,,,,,
2015-02-27 09:37:53,N,14,,0,,,,,,,,
2015-02-27 09:42:53,N,17,,0,,,,,,,,
2015-02-27 09:47:53,N,17,,0,,,,,,,,
2015-02-27 09:52:53,N,18,,0,,,,,,,,
2015-02-27 09:57:53,N,20,,0,,,,,,,,
2015-02-27 10:02:53,N,22,,0,,,,,,,,
2015-02-27 10:07:53,N,19,,0,,,,,,,,
2015-02-27 10:12:53,N,31,,0,,,,,,,,
2015-02-27 10:17:53,N,16,,0,,,,,,,,
2015-02-27 10:22:53,N,17,,0,,,,,,,,
2015-02-27 10:27:53,N,17,,0,,,,,,,,
2015-02-27 10:32:53,N,27,,0,,,,,,,,
2015-02-27 10:37:53,N,32,,0,,,,,,,,
2015-02-27 10:42:53,N,27,,0,,,,,,,,
2015-02-27 10:47:53,N,30,,0,,,,,,,,
2015-02-27 10:52:53,N,21,,0,,,,,,,,
2015-02-27 10:57:53,N,24,,0,,,,,,,,
2015-02-27 11:02:53,N,29,,0,,,,,,,,
2015-02-27 11:07:53,N,30,,0,,,,,,,,
2015-02-27 11:12:53,N,14,,0,,,,,,,,
2015-02-27 11:17:53,N,30,,0,,,,,,,,
2015-02-27 11:22:53,N,10,,0,,,,,,,,
2015-02-27 11:27:53,N,41,,0,,,,,,,,
2015-02-27 11:32:53,N,18,,0,,,,,,,,
2015-02-27 11:37:53,N,25,,0,,,,,,,,
2015-02-27 11:42:53,N,44,,0,,,,,,,,
2015-02-27 11:47:53,N,36,,0,,,,,,,,
2015-02-27 11:52:53,N,16,,0,,,,,,,,
2015-02-27 11:57:53,N,39,,0,,,,,,,,
2015-02-27 12:02:53,N,19,,0,,,,,,,,
2015-02-27 12:07:53,N,34,,0,,,,,,,,
2015-02-27 12:12:53,N,42,,0,,,,,,,,
2015-02-27 12:17:53,N,30,,0,,,,,,,,
2015-02-27 12:22:53,N,24,,0,,,,,,,,
2015-02-27 12:27:53,N,35,,0,,,,,,,,
2015-02-27 12:32:53,N,34,,0,,,,,,,,
2015-02-27 12:37:53,N,23,,0,,,,,,,,
2015-02-27 12:42:53,N,50,,0,,,,,,,,
2015-02-27 12:47:53,N,39,,0,,,,,,,,
2015-02-27 12:52:53,N,32,,0,,,,,,,,
2015-02-27 12:57:53,N,42,,0,,,,,,,,
2015-02-27 13:02:53,N,38,,0,,,,,,,,
2015-02-27 13:07:53,N,34,,0,,,,,,,,
2015-02-27 13:12:53,N,42,,0,,,,,,,,
2015-02-27 13:17:53,N,44,,0,,,,,,,,
2015-02-27 13:22:53,N,53,,0,,,,,,,,
2015-02-27 13:27:53,N,37,,0,,,,,,,,
2015-02-27 13:32:53,N,29,,0,,,,,,,,
2015-02-27 13:37:53,N,28,,0,,,,,,,,
2015-02-27 13:42:53,N,41,,0,,,,,,,,
2015-02-27 13:47:53,N,34,,0,,,,,,,,
2015-02-27 13:52:53,N,37,,0,,,,,,,,
2015-02-27 13:57:53,PL,222,,0,,,,,,,,
2015-02-27 14:02:53,N,46,,0,,,,,,,,
2015-02-27 14:07:53,N,32,,0,,,,,,,,
2015-02-27 14:12:53,N,37,,0,,,,,,,,
2015-02-27 14:17:53,N,110,,0,,,,,,,,
2015-02-27 14:22:53,N,65,,0,,,,,,,,
2015-02-27 14:27:53,N,42,,0,,,,,,,,
2015-02-27 14:32:53,N,54,,0,,,,,,,,
2015-02-27 14:37:53,N,66,,0,,,,,,,,
2015-02-27 14:42:53,N,46,,0,,,,,,,,
2015-02-27 14:47:53,N,42,,0,,,,,,,,
2015-02-27 14:52:53,N,38,,0,,,,,,,,
2015-02-27 14:57:53,N,102,,0,,,,,,,,
2015-02-27 15:02:53,N,92,,0,,,,,,,,
2015-02-27 15:07:53,N,62,,0,,,,,,,,
2015-02-27 15:12:53,N,62,,0,,,,,,,,
2015-02-27 15:17:53,N,56,,0,,,,,,,,
2015-02-27 15:22:53,N,86,,0,,,,,,,,
2015-02-27 15:27:53,N,67,,0,,,,,,,,
2015-02-27 15:32:53,N,62,,0,,,,,,,,
2015-02-27 15:37:53,N,56,,0,,,,,,,,
2015-02-27 15:42:53,N,61,,0,,,,,,,,
2015-02-27 15:47:53,N,58,,0,,,,,,,,
2015-02-27 15:52:53,N,52,,0,,,,,,,,
2015-02-27 15:57:53,N,50,,0,,,,,,,,
2015-02-27 16:02:53,N,51,,0,,,,,,,,
2015-02-27 16:07:53,N,47,,0,,,,,,,,
2015-02-27 16:12:53,N,41,,0,,,,,,,,
2015-02-27 16:17:53,N,52,,0,,,,,,,,
2015-02-27 16:22:53,N,37,,0,,,,,,,,
2015-02-27 16:27:53,N,68,,0,,,,,,,,
2015-02-27 16:32:53,N,68,,0,,,,,,,,
2015-02-27 16:37:53,N,109,,0,,,,,,,,
2015-02-27 16:42:53,N,80,,0,,,,,,,,
2015-02-27 16:47:53,N,108,,0,,,,,,,,
2015-02-27 16:52:53,N,65,,0,,,,,,,,
2015-02-27 16:57:53,N,172,,0,,,,,,,,
2015-02-27 17:02:53,N,172,,0,,,,,,,,
2015-02-27 17:07:53,N,271,,0,,,,,,,,
2015-02-27 17:12:53,N,456,,0,,,,,,,,
2015-02-27 17:17:53,N,440,,0,,,,,,,,
2015-02-27 17:22:53,N,477,,0,,,,,,,,
2015-02-27 17:27:53,N,426,,0,,,,,,,,
2015-02-27 17:32:53,N,284,,0,,,,,,,,
2015-02-27 17:37:53,N,159,,0,,,,,,,,
2015-02-27 17:42:53,N,112,,0,,,,,,,,
2015-02-27 17:47:53,N,118,,0,,,,,,,,
2015-02-27 17:52:53,N,70,,0,,,,,,,,
2015-02-27 17:57:53,N,59,,0,,,,,,,,
2015-02-27 18:02:53,N,51,,0,,,,,,,,
2015-02-27 18:07:53,N,63,,0,,,,,,,,
2015-02-27 18:12:53,N,45,,0,,,,,,,,
2015-02-27 18:17:53,N,108,,0,,,,,,,,
2015-02-27 18:22:53,N,68,,0,,,,,,,,
2015-02-27 18:27:53,N,105,,0,,,,,,,,
2015-02-27 18:32:53,N,52,,0,,,,,,,,
2015-02-27 18:37:53,N,95,,0,,,,,,,,
2015-02-27 18:42:53,N,111,,0,,,,,,,,
2015-02-27 18:47:53,N,116,,0,,,,,,,,
2015-02-27 18:52:53,N,155,,0,,,,,,,,
2015-02-27 18:57:53,N,141,,0,,,,,,,,
2015-02-27 19:02:53,N,115,,0,,,,,,,,
2015-02-27 19:07:53,N,137,,0,,,,,,,,
2015-02-27 19:12:53,N,112,,0,,,,,,,,
2015-02-27 19:17:53,N,113,,0,,,,,,,,
2015-02-27 19:22:53,N,136,,0,,,,,,,,
2015-02-27 19:27:53,N,119,,0,,,,,,,,
2015-02-27 19:32:53,N,97,,0,,,,,,,,
2015-02-27 19:37:53,N,102,,0,,,,,,,,
2015-02-27 19:42:53,N,101,,0,,,,,,,,
2015-02-27 19:47:53,N,96,,0,,,,,,,,
2015-02-27 19:52:53,N,87,,0,,,,,,,,
2015-02-27 19:57:53,N,93,,0,,,,,,,,
2015-02-27 20:02:53,N,103,,0,,,,,,,,
2015-02-27 20:07:53,N,96,,0,,,,,,,,
2015-02-27 20:12:53,N,99,,0,,,,,,,,
2015-02-27 20:17:53,N,110,,0,,,,,,,,
2015-02-27 20:22:53,N,90,,0,,,,,,,,
2015-02-27 20:27:53,N,154,,0,,,,,,,,
2015-02-27 20:32:53,N,131,,0,,,,,,,,
2015-02-27 20:37:53,N,130,,0,,,,,,,,
2015-02-27 20:42:53,N,100,,0,,,,,,,,
2015-02-27 20:47:53,N,93,,0,,,,,,,,
2015-02-27 20:52:53,N,95,,0,,,,,,,,
2015-02-27 20:57:53,N,109,,0,,,,,,,,
2015-02-27 21:02:53,N,92,,0,,,,,,,,
2015-02-27 21:07:53,N,111,,0,,,,,,,,
2015-02-27 21:12:53,N,99,,0,,,,,,,,
2015-02-27 21:17:53,N,122,,0,,,,,,,,
2015-02-27 21:22:53,N,89,,0,,,,,,,,
2015-02-27 21:27:53,N,108,,0,,,,,,,,
2015-02-27 21:32:53,N,106,,0,,,,,,,,
2015-02-27 21:37:53,N,118,,0,,,,,,,,
2015-02-27 21:42:53,N,110,,0,,,,,,,,
2015-02-27 21:47:53,N,138,,0,,,,,,,,
2015-02-27 21:52:53,N,111,,0,,,,,,,,
2015-02-27 21:57:53,N,123,,0,,,,,,,,
2015-02-27 22:02:53,N,120,,0,,,,,,,,
2015-02-27 22:07:53,N,89,,0,,,,,,,,
2015-02-27 22:12:53,N,88,,0,,,,,,,,
2015-02-27 22:17:53,N,147,,0,,,,,,,,
2015-02-27 22:22:53,N,129,,0,,,,,,,,
2015-02-27 22:27:53,N,141,,0,,,,,,,,
2015-02-27 22:32:53,N,129,,0,,,,,,,,
2015-02-27 22:37:53,N,81,,0,,,,,,,,
2015-02-27 22:42:53,N,90,,0,,,,,,,,
2015-02-27 22:47:53,N,90,,0,,,,,,,,
2015-02-27 22:52:53,N,96,,0,,,,,,,,
2015-02-27 22:57:53,N,95,,0,,,,,,,,
2015-02-27 23:02:53,N,85,,0,,,,,,,,
2015-02-27 23:07:53,N,96,,0,,,,,,,,
2015-02-27 23:12:53,N,114,,0,,,,,,,,
2015-02-27 23:17:53,N,60,,0,,,,,,,,
2015-02-27 23:22:53,N,73,,0,,,,,,,,
2015-02-27 23:27:53,N,88,,0,,,,,,,,
2015-02-27 23:32:53,N,106,,0,,,,,,,,
2015-02-27 23:37:53,N,103,,0,,,,,,,,
2015-02-27 23:42:53,N,115,,0,,,,,,,,
2015-02-27 23:47:53,N,90,,0,,,,,,,,
2015-02-27 23:52:53,N,93,,0,,,,,,,,
2015-02-27 23:57:53,N,96,,0,,,,,,,,
2015-02-28 00:02:53,N,106,,0,,,,,,,,
2015-02-28 00:07:53,N,91,,0,,,,,,,,
2015-02-28 00:12:53,N,78,,0,,,,,,,,
2015-02-28 00:17:53,N,86,,0,,,,,,,,
2015-02-28 00:22:53,N,90,,0,,,,,,,,
2015-02-28 00:27:53,N,96,,0,,,,,,,,
2015-02-28 00:32:53,N,74,,0,,,,,,,,
2015-02-28 00:37:53,N,96,,0,,,,,,,,
2015-02-28 00:42:53,N,114,,0,,,,,,,,
2015-02-28 00:47:53,N,99,,0,,,,,,,,
2015-02-28 00:52:53,N,77,,0,,,,,,,,
2015-02-28 00:57:53,N,83,,0,,,,,,,,
2015-02-28 01:02:53,N,80,,0,,,,,,,,
2015-02-28 01:07:53,N,85,,0,,,,,,,,
2015-02-28 01:12:53,N,81,,0,,,,,,,,
2015-02-28 01:17:53,N,89,,0,,,,,,,,
2015-02-28 01:22:53,N,80,,0,,,,,,,,
2015-02-28 01:27:53,N,79,,0,,,,,,,,
2015-02-28 01:32:53,N,76,,0,,,,,,,,
2015-02-28 01:37:53,N,97,,0,,,,,,,,
2015-02-28 01:42:53,N,86,,0,,,,,,,,
2015-02-28 01:47:53,N,96,,0,,,,,,,,
2015-02-28 01:52:53,N,79,,0,,,,,,,,
2015-02-28 01:57:53,N,89,,0,,,,,,,,
2015-02-28 02:02:53,N,86,,0,,,,,,,,
2015-02-28 02:07:53,N,78,,0,,,,,,,,
2015-02-28 02:12:53,N,87,,0,,,,,,,,
2015-02-28 02:17:53,N,87,,0,,,,,,,,
2015-02-28 02:22:53,N,111,,0,,,,,,,,
2015-02-28 02:27:53,N,112,,0,,,,,,,,
2015-02-28 02:32:53,N,101,,0,,,,,,,,
2015-02-28 02:37:53,N,111,,0,,,,,,,,
2015-02-28 02:42:53,N,98,,0,,,,,,,,
2015-02-28 02:47:53,N,76,,0,,,,,,,,
2015-02-28 02:52:53,N,73,,0,,,,,,,,
2015-02-28 02:57:53,N,97,,0,,,,,,,,
2015-02-28 03:02:53,N,114,,0,,,,,,,,
2015-02-28 03:07:53,N,104,,0,,,,,,,,
2015-02-28 03:12:53,N,117,,0,,,,,,,,
2015-02-28 03:17:53,N,105,,0,,,,,,,,
2015-02-28 03:22:53,N,100,,0,,,,,,,,
2015-02-28 03:27:53,N,112,,0,,,,,,,,
2015-02-28 03:32:53,N,131,,0,,,,,,,,
2015-02-28 03:37:53,N,107,,0,,,,,,,,
2015-02-28 03:42:53,N,81,,0,,,,,,,,
2015-02-28 03:47:53,N,100,,0,,,,,,,,
2015-02-28 03:52:53,N,76,,0,,,,,,,,
2015-02-28 03:57:53,N,87,,0,,,,,,,,
2015-02-28 04:02:53,N,96,,0,,,,,,,,
2015-02-28 04:07:53,N,87,,0,,,,,,,,
2015-02-28 04:12:53,N,87,,0,,,,,,,,
2015-02-28 04:17:53,N,73,,0,,,,,,,,
2015-02-28 04:22:53,N,204,,0,,,,,,,,
2015-02-28 04:27:53,N,229,,0,,,,,,,,
2015-02-28 04:32:53,N,79,,0,,,,,,,,
2015-02-28 04:37:53,N,70,,0,,,,,,,,
2015-02-28 04:42:53,N,63,,0,,,,,,,,
2015-02-28 04:47:53,N,62,,0,,,,,,,,
2015-02-28 04:52:53,N,66,,0,,,,,,,,
2015-02-28 04:57:53,N,66,,0,,,,,,,,
2015-02-28 05:02:53,N,58,,0,,,,,,,,
2015-02-28 05:07:53,N,63,,0,,,,,,,,
2015-02-28 05:12:53,N,36,,0,,,,,,,,
2015-02-28 05:17:53,N,24,,0,,,,,,,,
2015-02-28 05:22:53,N,19,,0,,,,,,,,
2015-02-28 05:27:53,N,19,,0,,,,,,,,
2015-02-28 05:32:53,N,24,,0,,,,,,,,
2015-02-28 05:37:53,N,19,,0,,,,,,,,
2015-02-28 05:42:53,N,27,,0,,,,,,,,
2015-02-28 05:47:53,N,15,,0,,,,,,,,
2015-02-28 05:52:53,N,23,,0,,,,,,,,
2015-02-28 05:57:53,N,25,,0,,,,,,,,
2015-02-28 06:02:53,N,28,,0,,,,,,,,
2015-02-28 06:07:53,N,20,,0,,,,,,,,
2015-02-28 06:12:53,N,14,,0,,,,,,,,
2015-02-28 06:17:53,N,17,,0,,,,,,,,
2015-02-28 06:22:53,N,57,,0,,,,,,,,
2015-02-28 06:27:53,N,43,,0,,,,,,,,
2015-02-28 06:32:53,N,27,,0,,,,,,,,
2015-02-28 06:37:53,N,30,,0,,,,,,,,
2015-02-28 06:42:53,N,26,,0,,,,,,,,
2015-02-28 06:47:53,N,26,,0,,,,,,,,
2015-02-28 06:52:53,N,17,,0,,,,,,,,
2015-02-28 06:57:53,N,82,,0,,,,,,,,
2015-02-28 07:02:53,N,27,,0,,,,,,,,
2015-02-28 07:07:53,N,22,,0,,,,,,,,
2015-02-28 07:12:53,N,42,,0,,,,,,,,
2015-02-28 07:17:53,N,19,,0,,,,,,,,
2015-02-28 07:22:53,N,15,,0,,,,,,,,
2015-02-28 07:27:53,N,19,,0,,,,,,,,
2015-02-28 07:32:53,N,17,,0,,,,,,,,
2015-02-28 07:37:53,N,21,,0,,,,,,,,
2015-02-28 07:42:53,N,21,,0,,,,,,,,
2015-02-28 07:47:53,N,24,,0,,,,,,,,
2015-02-28 07:52:53,N,15,,0,,,,,,,,
2015-02-28 07:57:53,N,16,,0,,,,,,,,
2015-02-28 08:02:53,N,20,,0,,,,,,,,
2015-02-28 08:07:53,N,27,,0,,,,,,,,
2015-02-28 08:12:53,N,20,,0,,,,,,,,
2015-02-28 08:17:53,N,20,,0,,,,,,,,
2015-02-28 08:22:53,N,7,,0,,,,,,,,
2015-02-28 08:27:53,N,10,,0,,,,,,,,
2015-02-28 08:32:53,N,17,,0,,,,,,,,
2015-02-28 08:37:53,N,17,,0,,,,,,,,
2015-02-28 08:42:53,N,9,,0,,,,,,,,
2015-02-28 08:47:53,N,18,,0,,,,,,,,
2015-02-28 08:52:53,N,12,,0,,,,,,,,
2015-02-28 08:57:53,N,16,,0,,,,,,,,
2015-02-28 09:02:53,N,18,,0,,,,,,,,
2015-02-28 09:07:53,N,10,,0,,,,,,,,
2015-02-28 09:12:53,N,10,,0,,,,,,,,
2015-02-28 09:17:53,N,8,,0,,,,,,,,
2015-02-28 09:22:53,N,11,,0,,,,,,,,
2015-02-28 09:27:53,N,14,,0,,,,,,,,
2015-02-28 09:32:53,N,13,,0,,,,,,,,
2015-02-28 09:37:53,N,18,,0,,,,,,,,
2015-02-28 09:42:53,N,21,,0,,,,,,,,
2015-02-28 09:47:53,N,13,,0,,,,,,,,
2015-02-28 09:52:53,N,13,,0,,,,,,,,
2015-02-28 09:57:53,N,26,,0,,,,,,,,
2015-02-28 10:02:53,N,26,,0,,,,,,,,
2015-02-28 10:07:53,N,19,,0,,,,,,,,
2015-02-28 10:12:53,N,12,,0,,,,,,,,
2015-02-28 10:17:53,N,24,,0,,,,,,,,
2015-02-28 10:22:53,N,14,,0,,,,,,,,
2015-02-28 10:27:53,N,10,,0,,,,,,,,
2015-02-28 10:32:53,N,28,,0,,,,,,,,
2015-02-28 10:37:53,N,9,,0,,,,,,,,
2015-02-28 10:42:53,N,12,,0,,,,,,,,
2015-02-28 10:47:53,N,15,,0,,,,,,,,
2015-02-28 10:52:53,N,12,,0,,,,,,,,
2015-02-28 10:57:53,N,28,,0,,,,,,,,
2015-02-28 11:02:53,N,23,,0,,,,,,,,
2015-02-28 11:07:53,N,7,,0,,,,,,,,
2015-02-28 11:12:53,N,14,,0,,,,,,,,
2015-02-28 11:17:53,N,13,,0,,,,,,,,
2015-02-28 11:22:53,N,15,,0,,,,,,,,
2015-02-28 11:27:53,N,11,,0,,,,,,,,
2015-02-28 11:32:53,N,15,,0,,,,,,,,
2015-02-28 11:37:53,N,11,,0,,,,,,,,
2015-02-28 11:42:53,N,14,,0,,,,,,,,
2015-02-28 11:47:53,N,13,,0,,,,,,,,
2015-02-28 11:52:53,N,13,,0,,,,,,,,
2015-02-28 11:57:53,N,21,,0,,,,,,,,
2015-02-28 12:02:53,N,22,,0,,,,,,,,
2015-02-28 12:07:53,N,29,,0,,,,,,,,
2015-02-28 12:12:53,N,10,,0,,,,,,,,
2015-02-28 12:17:53,N,18,,0,,,,,,,,
2015-02-28 12:22:53,N,15,,0,,,,,,,,
2015-02-28 12:27:53,N,9,,0,,,,,,,,
2015-02-28 12:32:53,N,16,,0,,,,,,,,
2015-02-28 12:37:53,N,20,,0,,,,,,,,
2015-02-28 12:42:53,N,17,,0,,,,,,,,
2015-02-28 12:47:53,N,26,,0,,,,,,,,
2015-02-28 12:52:53,N,17,,0,,,,,,,,
2015-02-28 12:57:53,N,26,,0,,,,,,,,
2015-02-28 13:02:53,N,24,,0,,,,,,,,
2015-02-28 13:07:53,N,18,,0,,,,,,,,
2015-02-28 13:12:53,N,13,,0,,,,,,,,
2015-02-28 13:17:53,N,19,,0,,,,,,,,
2015-02-28 13:22:53,N,21,,0,,,,,,,,
2015-02-28 13:27:53,N,20,,0,,,,,,,,
2015-02-28 13:32:53,N,22,,0,,,,,,,,
2015-02-28 13:37:53,N,18,,0,,,,,,,,
2015-02-28 13:42:53,N,19,,0,,,,,,,,
2015-02-28 13:47:53,N,23,,0,,,,,,,,
2015-02-28 13:52:53,N,13,,0,,,,,,,,
2015-02-28 13:57:53,N,18,,0,,,,,,,,
2015-02-28 14:02:53,N,17,,0,,,,,,,,
2015-02-28 14:07:53,N,35,,0,,,,,,,,
2015-02-28 14:12:53,N,20,,0,,,,,,,,
2015-02-28 14:17:53,N,23,,0,,,,,,,,
2015-02-28 14:22:53,N,29,,0,,,,,,,,
2015-02-28 14:27:53,N,40,,0,,,,,,,,
2015-02-28 14:32:53,N,24,,0,,,,,,,,
2015-02-28 14:37:53,N,32,,0,,,,,,,,
2015-02-28 14:42:53,N,26,,0,,,,,,,,
2015-02-28 14:47:53,N,23,,0,,,,,,,,
2015-02-28 14:52:53,N,27,,0,,,,,,,,
